Team,Record,Ranking,Wins (%),Conference,Scoring Offense Rank,Scoring Offense (PPG),Scoring Defense Rank,Scoring Defense (PPG)
Auburn,23-2,1,92.00,SEC,5,85.1,72,68.4
Florida,22-3,2,88.00,SEC,12,83.8,43,66.5
Duke,22-3,3,88.00,ACC,35,81.0,6,60.8
Alabama,21-4,3,84.00,SEC,1,90.3,332,79.1
Houston,21-4,5,84.00,Big 12,148,75.2,1,57.3
Tennesee,21-5,6,80.77,SEC,169,74.6,5,60.5
Texas A&M,20-5,7,80.00,SEC,172,74.5,32,65.4
Iowa State,22-26,8,84.62,Big 12,29,81.4,49,67.0
Texas Tech,20-5,9,12.00,Big 12,21,82.4,51,67.0
St. John's,22-4,10,84.62,Big East,81,78.2,34,65.6
Wisconsin,20-5,11,80.00,Big 10,28,81.5,137,70.5
Michigan,20-5,12,80.00,Big 10,26,81.6,158,71.0
Purdue,19-7,13,73.08,Big 10,67,78.7,121,69.8
Michigan State,20-5,14,80.00,Big 10,62,79.3,61,67.5
Missouri,19-6,15,76.00,SEC,19,82.6,93,69.0
Marquette,19-6,16,76.00,Big East,97,77.2,64,67.5
Kentucky,17-8,17,68.00,SEC,3,85.9,295,76.3
Clemson,21-5,18,80.77,ACC,92,77.4,41,66.4
Arizona,17-8,19,68.00,Big 12,33,81.3,108,69.5
Maryland,20-6,20,76.92,Big 10,13,83.5,53,67.2
Mississippi State,18-7,21,72.00,SEC,63,79.2,182,71.7
Memphis,21-5,22,80.77,AAC,58,79.4,233,73.3
Kansas,17-8,23,68.00,Big 12,123,76.0,45,66.6
Ole Miss,19-7,24,73.08,SEC,85,77.8,80,68.8
Louisville,20-6,25,76.92,ACC,56,79.5,94,69.0
