Team,Record,Ranking,Wins (%),Conference,Scoring Offense Rank,Scoring Offense (PPG),Scoring Defense Rank,Scoring Defense (PPG)
Auburn,25-2,1,92.59,SEC,6,84.3,69,68.1
Duke,24-3,2,88.89,ACC,24,82.0,7,61.0
Florida,24-3,3,88.89,SEC,11,83.6,41,66.3
Houston,23-4,4,85.19,Big 12,143,75.1,1,57.7
Tennesee,22-5,5,81.48,SEC,162,74.7,4,60.8
Alabama,22-5,6,81.48,SEC,1,90.8,341,80.4
St. John's,24-4,7,85.71,Big East,68,78.7,27,65.7
Michigan State,22-5,8,92.59,Big 10,59,79.0,56,67.2
Iowa State,21-6,9,77.78,Big 12,41,80.5,51,67
Texas Tech,21-6,10,77.78,Big 12,29,81.4,46,66.5
Wisconsin,21-6,11,77.78,Big 10,26,81.7,143,70.9
Texas A&M,20-7,12,74.07,SEC,196,73.6,30,66
Clemson,22-5,13,81.48,ACC,88,77.5,45,66.5
Missouri,20-7,14,74.07,SEC,8,83.7,144,70.9
Michigan,20-6,15,76.92,Big 10,36,80.8,157,71.2
Maryland,21-6,16,77.78,Big 10,9,83.7,57,67.3
Kentucky,18-9,17,66.67,SEC,3,85.7,298,76.4
Memphis,22-5,18,81.48,AAC,51,79.6,214,73
Louisville,21-6,19,77.78,ACC,48,79.9,98,69.4
Purdue,19-9,20,67.86,Big 10,87,77.5,123,70.1
Marquette,20-7,21,74.07,Big East,96,76.9,60,67.6
Arizona,18-9,22,66.67,Big 12,28,81.6,130,70.4
Saint Mary's,25-4,23,86.21,WCC,155,74.8,5,60.9
Mississippi State,19-8,24,70.37,SEC,57,79.3,181,71.9
BYU,19-8,25,70.37,Big 12,37,80.8,106,69.5
