Team,Record,Ranking,Wins (%),Conference,Scoring Offense Rank,Scoring Offense (PPG),Scoring Defense Rank,Scoring Defense (PPG)
Auburn,27-2,1,93.10,SEC,4,85.4,82,68.8
Duke,26-3,2,89.66,ACC,14,83.2,6,61.1
Houston,25-4,3,86.21,Big 12,147,74.8,1,58.0
Tennesee,24-5,4,82.76,SEC,163,74.5,7,61.3
Florida,25-4,5,86.21,SEC,9,83.8,49,67.2
St. John's,26-4,6,86.67,Big East,67,78.4,31,65.7
Alabama,23-6,7,79.31,SEC,1,91.0,339,80.1
Michigan State,24-5,8,82.76,Big 10,77,78.0,43,66.6
Texas Tech,22-7,9,75.86,Big 12,37,80.6,45,66.8
Iowa State,22-7,10,75.86,Big 12,42,80.2,49,67.2
Clemson,24-5,11,82.76,ACC,86,77.4,35,66.2
Wisconsin,22-7,12,75.86,Big 10,28,81.2,135,70.6
Maryland,22-7,13,75.86,Big 10,21,82.1,47,66.9
Louisville,23-6,14,79.31,ACC,51,79.5,98,69.2
Missouri,21-8,15,72.41,SEC,7,84.6,178,71.8
Memphis,24-5,16,82.76,AAC,44,80.0,215,73.2
Michigan,22-7,17,75.86,Big 10,49,79.6,163,71.4
Purdue,20-9,18,68.97,Big 10,86,77.4,121,70.0
Kentucky,19-10,19,65.52,SEC,5,85.3,311,77.2
Marquette,22-7,20,86.21,Big East,95,77.1,45,66.8
Saint Mary's,27-4,21,87.10,WCC,174,74.2,5,60.8
Texas A&M,20-9,22,68.97,SEC,190,73.8,56,67.4
BYU,21-8,23,72.41,Big 12,32,81.0,103,69.4
Arizona,19-10,24,65.52,Big 12,30,81.1,141,70.7
Mississippi,20-9,25,68.97,SEC,57,79.1,211,73.1
